,S,where,floor,max_floors,rooms_number,condition,bath,shower,balcony,distance_to_subway,subway_station,washer,dishwasher,internet,phone,tv,animals,children,furniture,kitchen_furniture,fridge
99,44,Сосенское,12,17,1,косметический,1.0,0.0,1.0,2.0833333333333335,Бунинская аллея,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
100,40,Щербинка,3,16,1,евроремонт,1.0,1.0,1.0,7,Бунинская аллея,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
101,37,Вешняки,10,17,1,косметический,0.0,1.0,1.0,1.4166666666666667,Выхино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,36,Северное Измайлово,3,9,1,евроремонт,1.0,0.0,1.0,2.3333333333333335,Щелковская,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
103,41,Строгино,10,16,1,косметический,1.0,0.0,1.0,0.6666666666666666,Строгино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
104,33,Вешняки,4,9,1,косметический,1.0,0.0,0.0,0.5,Выхино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
105,44,Нагатинский затон,4,9,2,косметический,1.0,0.0,1.0,1.6666666666666667,Коломенская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
106,165,Раменки,8,18,4,дизайнерский,1.0,1.0,1.0,5,Университет,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"107,175,Очаково-Матвеевское,10,30,4,,0.0,0.0,0.0,,""Славянский Бульвар.Кухня совмещена с большой гостиной- столовой.2 спальни, 1 детская комната, гардеробная,  2 санузла . Высота потолков 3,1 м. Квартира имеет панорамное остекленение от потолка    до пола, панорамный вид на Воробьевы Горы, набережную Москвы-реки,  Парк Победы. ЕСТЬ ВСЕ НЕОБХОДИМОЕ ДЛЯ КОМФОРТНОГО ПРОЖИВАНИЯ. На территории имеется детская и спортивные площадки, SPA -салоны,культурно- развлекательные заведения, супермаркет, бассейн. Машиноместо 2 в подземном паркинге включено в стоимость, Москва, Нежинская улица 1к4, общ. пл. 175, жил.пл. 110, комнаты 50/22/20/18, кухня 25, 10/30 этаж, окна двор/улица, 2 санузла, евроремонт"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0"
108,100,Аэропорт,20,32,3,дизайнерский,1.0,1.0,1.0,0.5833333333333334,Аэропорт,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,31,Алтуфьевский,2,5,1,косметический,1.0,0.0,1.0,2.5,Бибирево,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
110,60,,8,17,2,косметический,0.0,0.0,1.0,1.8333333333333333,Бунинская аллея,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
111,60,Некрасовка,9,12,2,косметический,1.0,0.0,1.0,5,Выхино,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
112,38,Кузьминки,4,12,1,косметический,1.0,0.0,1.0,0.8333333333333334,Текстильщики,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
113,33,Сосенское,7,17,1,евроремонт,0.0,0.0,0.0,15,Теплый Стан,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,38,Кузьминки,3,12,1,косметический,1.0,0.0,1.0,0.8333333333333334,Текстильщики,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
115,38,Отрадное,1,5,1,евроремонт,1.0,0.0,0.0,0.8333333333333334,Отрадное,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,38,Выхино-Жулебино,3,12,1,косметический,1.0,0.0,0.0,1.0,Жулебино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,48,Рязанский,3,5,2,косметический,0.0,0.0,1.0,1.25,Кузьминки,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,39,Косино-Ухтомский,8,17,1,дизайнерский,1.0,0.0,1.0,10,Жулебино,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
119,32,Коптево,9,9,1,косметический,1.0,0.0,1.0,5,Войковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,65,Бирюлево Восточное,5,17,2,косметический,1.0,0.0,1.0,1.25,Царицыно,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
121,30,Северное Медведково,7,9,1,косметический,1.0,0.0,0.0,0.25,Медведково,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
122,34,Соколиная гора,4,5,1,косметический,1.0,0.0,1.0,0.8333333333333334,Партизанская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,38,Люблино,5,5,1,косметический,1.0,0.0,1.0,0.8333333333333334,Волжская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
124,40,Печатники,8,12,1,косметический,1.0,0.0,0.0,1.4166666666666667,Печатники,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
125,50,CTYPE,1,5,2,косметический,1.0,0.0,0.0,10,Бульвар Дмитрия Донского,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,30,Чертаново Южное,6,12,1,косметический,1.0,0.0,0.0,0.5,Улица Академика Янгеля,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
127,34,Марьино,7,14,1,косметический,1.0,0.0,1.0,2.0833333333333335,Марьино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,56,Гольяново,3,12,2,косметический,1.0,0.0,1.0,0.25,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,37,Ивановское,4,12,1,косметический,1.0,0.0,1.0,5,Новогиреево,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
130,54,Некрасовка,13,17,2,косметический,1.0,0.0,1.0,5,Выхино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
131,38,CTYPE,10,14,1,евроремонт,1.0,0.0,1.0,10,Выхино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,38,CTYPE,15,17,1,косметический,1.0,0.0,1.0,10,Теплый Стан,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
133,34,Головинский,4,5,1,косметический,1.0,0.0,1.0,1.6666666666666667,Речной вокзал,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
134,39,Бирюлево Восточное,16,17,1,евроремонт,1.0,0.0,1.0,10,Царицыно,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,35,Марьино,2,9,1,косметический,1.0,0.0,0.0,1.3333333333333333,Марьино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,33,Раменки,1,5,1,косметический,1.0,0.0,0.0,7,Киевская,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
137,20,Измайлово,2,5,1,евроремонт,0.0,1.0,0.0,0.8333333333333334,Первомайская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
138,33,Черемушки,1,5,1,косметический,1.0,0.0,0.0,0.8333333333333334,Новые Черемушки,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
139,38,Бескудниковский,3,17,1,косметический,0.0,0.0,1.0,10,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
140,40,Марьино,2,16,1,косметический,1.0,0.0,1.0,1.0,Братиславская,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
141,32,Ярославский,4,14,1,евроремонт,1.0,0.0,1.0,7,ВДНХ,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
142,42,Лосиноостровский,2,5,2,косметический,1.0,0.0,0.0,2.0833333333333335,Бабушкинская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
143,36,Орехово-Борисово Южное,4,9,1,косметический,1.0,0.0,0.0,0.8333333333333334,Домодедовская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
144,38,Рязанский,1,5,1,косметический,1.0,0.0,0.0,0.8333333333333334,Рязанский проспект,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
145,32,Зюзино,4,9,1,косметический,1.0,0.0,0.0,0.4166666666666667,Нахимовский проспект,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
146,46,Отрадное,4,5,2,косметический,1.0,0.0,1.0,1.5,Отрадное,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147,40,Лианозово,2,12,1,косметический,1.0,0.0,0.0,0.6666666666666666,Алтуфьево,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
148,38,Печатники,6,16,1,евроремонт,1.0,0.0,1.0,0.8333333333333334,Печатники,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
149,33,Южное Медведково,8,8,1,косметический,1.0,0.0,1.0,0.8333333333333334,Бабушкинская,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
150,38,Отрадное,8,17,1,косметический,1.0,0.0,1.0,0.4166666666666667,Отрадное,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
151,35,Выхино-Жулебино,6,9,1,евроремонт,1.0,0.0,0.0,1.25,Выхино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
152,30,Бибирево,5,9,1,,0.0,0.0,1.0,1.5,Алтуфьево,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,40,Новокосино,3,9,1,косметический,1.0,0.0,1.0,1.0833333333333333,Новокосино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
154,48,Гольяново,1,9,2,косметический,1.0,0.0,1.0,1.4166666666666667,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
