ID_rest;Rest_name;Cuisine;Price;Tags;Adress
/msk/restaurant/259786/;Хмельбург;Пивные рестораны;700–1500 рублей;Бургеры,Паста,Европейская кухня,Пивные рестораны,Пабы;Москва, просп. Победы, 12
/msk/restaurant/259787/;Семь прудов;Кафе;700–1500 рублей;Русская кухня,Пельмени,Европейская кухня,Кафе,Бары;Москва, Ногинский р-н, пос. Рыбхоз, Бисеровское ш., 14
/msk/restaurant/259789/;Фуда;Китайская кухня;1500–2500 рублей;Китайская кухня;Москва, Комсомольский просп., 28, в здании МДМ
/msk/restaurant/259794/;Cure Bar;Бары;700–1500 рублей;Русская кухня,Бургеры,Пицца,Паста,Сэндвичи,Европейская кухня,Бары;Москва, Ленинградский просп., 66
/msk/restaurant/259795/;Бекерс;Пекарни;До 700 рублей;Кафе,Кофейни,Пекарни,Куда пойти с детьми;Москва, Ленинский просп., 70/11
/msk/restaurant/259797/;Дэйли'с;Кафе;700–1500 рублей;Русская кухня,Бургеры,Паста,Сэндвичи,Стейки,Пироги,Европейская кухня,Кафе;Москва, Тестовская, 10, БЦ «Северная башня», 1 подъезд, 2 этаж
/msk/restaurant/259800/;Территория;Бары;700–1500 рублей;Итальянская кухня,Японская кухня,Пицца,Паста,Суши,Стейки,Кальяны,Европейская кухня,Бары,Караоке,Коктейльная карта;Москва, Пятницкое ш., 12
/msk/restaurant/259803/;Burger Heroes;Бургеры;До 700 рублей;Американская кухня,Бургеры,Европейская кухня,Кафе,Фастфуд;Москва, Александра Солженицына, 1/5, в помещении бара «Варка»
/msk/restaurant/259805/;Zinagoga;Кафе;До 700 рублей;Еврейская кухня,Кафе,Бары,Фастфуд;Москва, Б.Новодмитровская, 36/4, на территории дизайн-завода «Флакон»
/msk/restaurant/259807/;Мерси, Баку ;Азербайджанская кухня;700–1500 рублей;Азербайджанская кухня,Грузинская кухня,Еврейская кухня,Итальянская кухня,Пицца,Паста,Кальяны,Европейская кухня,Кондитерские,Бары,Коктейльная карта;Москва, Свободы, 55
/msk/restaurant/259808/;Lake House;Рестораны у воды;1500–2500 рублей;Европейская кухня;Москва, Никольская Слобода, 1г
/msk/restaurant/259809/;Пиццерия;Фастфуд;До 700 рублей;Итальянская кухня,Пицца,Фастфуд;Москва, Сущевская, 13/15
/msk/restaurant/259810/;Транзит времени;Бары;700–1500 рублей;Итальянская кухня,Пицца,Кальяны,Европейская кухня,Бары,Спортбары;Москва, Кулакова, 20, корп. 1
