ID_Rest;ID_Afisha_user
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2721989
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2710796
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2620546
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2338126
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/3017086
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/162808
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2991881
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2960072
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2393394
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/1166525
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2919484
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2919101
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2871194
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2846441
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2773723
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2770129
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/417169
http://www.afisha.ru/msk/restaurant/48308/;www.afisha.ru/personalpage/2405246
http://www.afisha.ru/msk/restaurant/44602/;www.afisha.ru/personalpage/2859903
http://www.afisha.ru/msk/restaurant/44602/;www.afisha.ru/personalpage/2764499
http://www.afisha.ru/msk/restaurant/44602/;www.afisha.ru/personalpage/2884804
http://www.afisha.ru/msk/restaurant/44602/;www.afisha.ru/personalpage/2599810
http://www.afisha.ru/msk/restaurant/44602/;www.afisha.ru/personalpage/2627832
http://www.afisha.ru/msk/restaurant/31935/;www.afisha.ru/personalpage/1272262
http://www.afisha.ru/msk/restaurant/31935/;www.afisha.ru/personalpage/2827407
http://www.afisha.ru/msk/restaurant/38799/;www.afisha.ru/personalpage/2873484
http://www.afisha.ru/msk/restaurant/38799/;www.afisha.ru/personalpage/2844368
http://www.afisha.ru/msk/restaurant/38799/;www.afisha.ru/personalpage/2909838
