ID_Afisha_user;ID_SN
www.afisha.ru/personalpage/1029805;http://facebook.com/100000485850082
www.afisha.ru/personalpage/2674415;http://facebook.com/1088158807895871
www.afisha.ru/personalpage/2798707;http://facebook.com/1024825404261499
www.afisha.ru/personalpage/1752786;http://facebook.com/100000466505647
www.afisha.ru/personalpage/2852633;http://facebook.com/257412051284924
www.afisha.ru/personalpage/882124;http://facebook.com/1225138627514567
www.afisha.ru/personalpage/2444337;http://facebook.com/933619556682185
www.afisha.ru/personalpage/456228;http://facebook.com/586692116
www.afisha.ru/personalpage/2292175;http://facebook.com/100001646018057
www.afisha.ru/personalpage/2246646;http://facebook.com/100000707486885
www.afisha.ru/personalpage/2856247;http://facebook.com/1089767311069857
www.afisha.ru/personalpage/2820896;http://facebook.com/1088925427819694
www.afisha.ru/personalpage/2787859;http://facebook.com/1135614569803373
www.afisha.ru/personalpage/486054;http://facebook.com/100001466688577
www.afisha.ru/personalpage/35680;http://facebook.com/507416520
www.afisha.ru/personalpage/445811;http://facebook.com/100000107000193
www.afisha.ru/personalpage/2391564;http://facebook.com/831368670267814
www.afisha.ru/personalpage/2739137;http://facebook.com/1669206090009040
www.afisha.ru/personalpage/1095665;http://facebook.com/100001782916153
www.afisha.ru/personalpage/3031717;http://facebook.com/1300100923367451
www.afisha.ru/personalpage/1040046;http://facebook.com/1780502566
www.afisha.ru/personalpage/160769;http://facebook.com/100000870624229
www.afisha.ru/personalpage/2435179;http://facebook.com/10209848509956100
www.afisha.ru/personalpage/2879673;http://facebook.com/10208483971369280
www.afisha.ru/personalpage/522597;http://facebook.com/719306269
www.afisha.ru/personalpage/2530150;http://facebook.com/1458661297768174
www.afisha.ru/personalpage/1906622;http://facebook.com/100002056418409
www.afisha.ru/personalpage/2349997;http://facebook.com/100001246345313
www.afisha.ru/personalpage/783509;http://facebook.com/100000076376364
www.afisha.ru/personalpage/171608;http://facebook.com/10202962635345951
www.afisha.ru/personalpage/2662823;http://facebook.com/1068306689875549
www.afisha.ru/personalpage/2992936;http://facebook.com/1166257976776613
www.afisha.ru/personalpage/2992379;http://facebook.com/1793102794265850
www.afisha.ru/personalpage/2409324;http://facebook.com/868784533178797
www.afisha.ru/personalpage/2900058;http://facebook.com/1728792977387805
www.afisha.ru/personalpage/869213;http://facebook.com/100001763383357
